2026-04-27T02:19:14 | lang=java   | code_len=  112 | is_bug=true  | confidence=0.9500 | response_ms=  234.4
2026-04-27T02:26:33 | lang=java   | code_len=  526 | is_bug=true  | confidence=0.9500 | response_ms=  233.9
2026-04-27T02:26:53 | lang=java   | code_len=  526 | is_bug=true  | confidence=0.9500 | response_ms=  230.7
2026-04-27T02:27:10 | lang=java   | code_len=  526 | is_bug=true  | confidence=0.9500 | response_ms=  228.9
2026-04-27T02:28:54 | lang=java   | code_len=  526 | is_bug=true  | confidence=0.9500 | response_ms=  401.3
2026-04-27T02:29:00 | lang=java   | code_len=  212 | is_bug=false | confidence=1.0000 | response_ms=    0.0
2026-04-27T02:29:08 | lang=c      | code_len=  331 | is_bug=true  | confidence=0.9500 | response_ms=  190.5
2026-04-27T02:29:55 | lang=java   | code_len=  148 | is_bug=true  | confidence=0.9500 | response_ms=  414.3
2026-04-27T02:30:14 | lang=python | code_len=   66 | is_bug=false | confidence=0.6269 | response_ms= 1051.2
2026-04-27T02:30:35 | lang=cpp    | code_len=  112 | is_bug=true  | confidence=0.9500 | response_ms=  211.3
2026-04-27T02:30:51 | lang=c      | code_len=   75 | is_bug=false | confidence=0.8632 | response_ms= 1017.6
2026-04-27T02:31:04 | lang=python | code_len=   66 | is_bug=false | confidence=0.6269 | response_ms=  960.2
2026-04-27T02:32:36 | lang=?      | code_len=    0 | is_bug=?     | confidence=0.0000 | response_ms=    0.0
2026-04-27T02:32:44 | lang=python | code_len=   66 | is_bug=false | confidence=0.6269 | response_ms=  662.2
2026-04-27T02:33:25 | lang=python | code_len=   66 | is_bug=true  | confidence=0.9500 | response_ms=  113.7
2026-04-27T02:34:13 | lang=java   | code_len=  526 | is_bug=true  | confidence=0.9500 | response_ms=  426.6
2026-04-27T02:34:21 | lang=c      | code_len=  331 | is_bug=true  | confidence=0.9500 | response_ms=  154.3
2026-04-27T02:34:28 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1051.0
2026-04-27T02:34:42 | lang=python | code_len=  357 | is_bug=true  | confidence=0.9500 | response_ms=  163.2
2026-04-27T02:34:53 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1151.6
2026-04-27T02:40:35 | lang=java   | code_len=  526 | is_bug=true  | confidence=0.9500 | response_ms=  398.7
2026-04-27T02:40:41 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms=  982.2
2026-04-27T02:44:00 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1097.6
2026-04-27T02:44:09 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1006.9
2026-04-27T02:44:16 | lang=python | code_len=  357 | is_bug=true  | confidence=0.9500 | response_ms=  175.1
2026-04-27T02:44:22 | lang=java   | code_len=  526 | is_bug=true  | confidence=0.9500 | response_ms=  422.9
2026-04-27T02:44:35 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1028.9
2026-04-27T02:45:21 | lang=cpp    | code_len=   20 | is_bug=true  | confidence=0.9500 | response_ms=  120.5
2026-04-27T02:45:55 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1187.9
2026-04-27T02:46:21 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1076.4
2026-04-27T02:48:29 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1047.8
2026-04-27T02:54:10 | lang=cpp    | code_len=   20 | is_bug=true  | confidence=0.9500 | response_ms=  242.4
2026-04-27T02:56:12 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1372.5
2026-04-27T02:56:18 | lang=python | code_len=  357 | is_bug=true  | confidence=0.9500 | response_ms=   24.6
2026-04-27T02:56:25 | lang=java   | code_len=  526 | is_bug=true  | confidence=0.9500 | response_ms=   12.7
2026-04-27T02:56:56 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1224.7
2026-04-27T02:58:31 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1293.4
2026-04-27T03:00:22 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1303.1
2026-04-27T03:00:27 | lang=python | code_len=  357 | is_bug=true  | confidence=0.9500 | response_ms=   21.4
2026-04-27T03:01:01 | lang=cpp    | code_len=  437 | is_bug=false | confidence=0.7093 | response_ms= 1177.5
2026-05-06T23:34:36 | lang=java   | code_len=  507 | is_bug=false | confidence=0.6351 | response_ms= 1124.8
2026-05-06T23:40:33 | lang=java   | code_len=  505 | is_bug=false | confidence=0.6206 | response_ms= 1495.5
2026-05-06T23:41:13 | lang=java   | code_len=  514 | is_bug=false | confidence=0.6206 | response_ms= 1487.7
2026-05-06T23:49:21 | lang=java   | code_len=  505 | is_bug=false | confidence=0.6206 | response_ms= 1469.6
2026-05-07T00:11:29 | lang=java   | code_len=  510 | is_bug=false | confidence=0.6365 | response_ms= 1442.1
2026-05-07T00:11:47 | lang=java   | code_len=  505 | is_bug=false | confidence=0.6206 | response_ms= 1462.0
2026-05-07T00:11:53 | lang=java   | code_len=  505 | is_bug=false | confidence=0.6206 | response_ms= 1419.4
